no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
柒,品質管理費,式,,,,,,品質管理費
柒.一,品管人員,月,6.0,,,,,品管人員
柒.二,品質管理，文件資料製作費,月,6.0,,,,,品質管理，文件資料製作費
柒.三,運雜費,式,1.0,,,,,運雜費
捌,材料檢驗費,式,,,,,,材料檢驗費
捌.一,品質管理，材料檢驗費，耐酸鹼PVC地毯取,次,1.0,,,,,品質管理，材料檢驗費，耐酸鹼PVC地毯取 樣送驗，耐磨性
捌.二,品質管理，材料檢驗費，耐酸鹼PVC地毯取,次,1.0,,,,,品質管理，材料檢驗費，耐酸鹼PVC地毯取 樣送驗，耐藥品性
捌.三,品質管理，材料檢驗費，耐磨PVC地毯取樣,次,1.0,,,,,品質管理，材料檢驗費，耐磨PVC地毯取樣 送驗，耐磨性
捌.四,品質管理，材料檢驗費，9mm矽酸鈣板取樣,次,1.0,,,,,品質管理，材料檢驗費，9mm矽酸鈣板取樣 送驗，耐燃一級
捌.五,品質管理，材料檢驗費，6mm矽酸鈣板取樣,次,1.0,,,,,品質管理，材料檢驗費，6mm矽酸鈣板取樣 送驗，耐燃一級
捌.六,品質管理，材料檢驗費，吸水率，防滑地,次,1.0,,,,,品質管理，材料檢驗費，吸水率，防滑地 磚，防滑地磚
捌.七,品質管理，材料檢驗費，彎曲破壞載重,次,1.0,,,,,品質管理，材料檢驗費，彎曲破壞載重 ，防滑地磚，防滑地磚
捌.八,品質管理，材料檢驗費，摩擦系數，防滑,次,1.0,,,,,品質管理，材料檢驗費，摩擦系數，防滑 地磚，防滑地磚
玖,建築物室內裝修竣工許可申請及簽證費用(,式,1.0,,,,,建築物室內裝修竣工許可申請及簽證費用( 取得建築物室內裝修合格證明) 合計
拾,稅什費(包含工程保險、營業稅、利潤及管,式,1.0,,,,,稅什費(包含工程保險、營業稅、利潤及管 理等項目) 發包工程費 總價(總計)
